FACTOR,CRIME_TYPE,COUNT,COMMUNITY_AREA,CORRELATION
demo_hd01_vd14,OTHER OFFENSE,8,77,-0.8681437859252297
demo_hd01_vd53,OTHER OFFENSE,8,56,0.8681019797796864
demo_hd01_vd42,PROSTITUTION,8,75,0.8678881433837882
demo_hd01_vd51,TOTAL,8,57,0.8678625527280099
demo_hd01_vd59,PROSTITUTION,8,22,0.867725993864079
demo_hd01_vd39,CRIMINAL DAMAGE,8,19,0.8675765707416783
demo_hd01_vd38,TOTAL,8,64,0.8675005221070486
demo_hd01_vd52,TOTAL,8,5,0.8674211567881416
demo_hd01_vd36,CRIMINAL DAMAGE,8,19,0.8673349799147769
demo_hd01_vd53,CRIMINAL DAMAGE,8,15,0.8672820309846366
demo_hd01_vd50,TOTAL,8,18,0.8672565376893151
demo_hd01_vd39,OTHER OFFENSE,8,38,0.8671640287737886
demo_hd01_vd52,BATTERY,8,15,0.8671432603321297
demo_hd01_vd47,OTHER NARCOTIC VIOLATION,8,2,0.8671250516036573
demo_hd01_vd52,CRIMINAL DAMAGE,8,19,0.86704725157831
demo_hd01_vd42,PROSTITUTION,8,21,0.8669189489290864
demo_hd01_vd56,PROSTITUTION,8,3,0.8668463527527404
demo_hd01_vd37,TOTAL,8,64,0.8667857627842686
demo_hd01_vd36,OTHER OFFENSE,8,38,0.8666774227302332
demo_hd01_vd47,OTHER NARCOTIC VIOLATION,8,24,0.8666045003767973
demo_hd01_vd45,GAMBLING,8,5,0.8665893209725927
demo_hd01_vd38,TOTAL,8,65,0.8665245287043234
demo_hd01_vd14,PUBLIC PEACE VIOLATION,8,70,-0.8664825909359134
demo_hd01_vd17,BATTERY,608,0,0.8660369680274881
demo_hd01_vd37,CRIMINAL DAMAGE,8,66,0.8659747048775454
demo_hd01_vd53,PROSTITUTION,8,20,0.8657122995763346
demo_hd01_vd35,PROSTITUTION,8,22,0.8656908798225875
demo_hd01_vd38,TOTAL,8,15,0.8656491322392404
demo_hd01_vd42,NARCOTICS,8,33,0.8656142430571713
demo_hd01_vd53,TOTAL,8,59,0.8655358178137847
demo_hd01_vd36,TOTAL,8,64,0.8654819179914592
demo_hd01_vd21,TOTAL,8,47,0.8654024224192246
demo_hd01_vd53,PROSTITUTION,8,40,0.8653559132090156
demo_hd01_vd33,PROSTITUTION,8,22,0.8653427203322552
demo_hd01_vd41,OTHER NARCOTIC VIOLATION,8,17,0.8652566890205166
demo_hd01_vd56,PROSTITUTION,8,20,0.8650745784931011
demo_hd01_vd52,OTHER OFFENSE,8,56,0.8650114563447672
demo_hd01_vd47,OTHER NARCOTIC VIOLATION,8,17,0.8650028572887408
demo_hd01_vd53,CRIMINAL DAMAGE,8,64,0.8649885814835635
demo_hd01_vd37,CRIMINAL DAMAGE,8,75,0.8649400323217351
demo_hd01_vd36,THEFT,8,17,0.86492515293902
demo_hd01_vd38,BATTERY,8,53,0.8648710560181633
demo_hd01_vd36,CRIMINAL DAMAGE,8,64,0.864852230821049
demo_hd01_vd26,MOTOR VEHICLE THEFT,8,44,-0.8648324970298004
demo_hd01_vd39,TOTAL,8,57,0.8647259744707374
demo_hd01_vd01,PROSTITUTION,8,73,0.8646862607161663
demo_hd01_vd14,TOTAL,8,40,-0.8646304126776969
demo_hd01_vd38,TOTAL,8,71,0.8645876803505098
demo_hd01_vd28,BURGLARY,8,25,-0.864585253290315
demo_hd01_vd14,TOTAL,8,67,-0.8645496504564738
demo_hd01_vd52,CRIMINAL DAMAGE,8,16,0.8643861508552304
demo_hd01_vd55,OTHER NARCOTIC VIOLATION,8,17,0.8643068186982021
demo_hd01_vd56,TOTAL,8,57,0.8642539244296237
demo_hd01_vd14,NARCOTICS,8,16,-0.8642534272314998
demo_hd01_vd37,CRIMINAL DAMAGE,8,11,0.864156897165041
demo_hd01_vd55,PROSTITUTION,8,75,0.8640944445810239
demo_hd01_vd06,TOTAL,8,47,0.864037572959661
demo_hd01_vd49,OTHER OFFENSE,8,31,0.8639527115180428
demo_hd01_vd51,OTHER OFFENSE,8,38,0.8639405065728063
demo_hd01_vd35,NARCOTICS,8,33,0.8639303338557214
demo_hd01_vd52,TOTAL,8,57,0.8637958258293189
demo_hd01_vd33,PROSTITUTION,8,21,0.8636986013509406
demo_hd01_vd22,CRIM SEXUAL ASSAULT,8,26,-0.8636589063414003
demo_hd01_vd56,OTHER OFFENSE,8,19,0.863641582579548
demo_hd01_vd14,BATTERY,8,40,-0.8636008246473298
demo_hd01_vd51,TOTAL,8,5,0.8635753001255291
demo_hd01_vd38,CRIMINAL DAMAGE,8,61,0.8635615565987219
demo_hd01_vd56,TOTAL,8,18,0.8635374713566114
demo_hd01_vd52,TOTAL,8,64,0.8634456574534766
demo_hd01_vd37,ASSAULT,8,49,0.8633519217912113
demo_hd01_vd49,PROSTITUTION,8,22,0.8633354786177455
demo_hd01_vd32,PROSTITUTION,8,75,0.8631891412595697
demo_hd01_vd31,OTHER NARCOTIC VIOLATION,8,17,0.8630479515881286
demo_hd01_vd14,BURGLARY,8,60,-0.8630261726418939
demo_hd01_vd46,OTHER NARCOTIC VIOLATION,8,17,0.8630035259660885
demo_hd01_vd14,MOTOR VEHICLE THEFT,8,19,-0.8629639789255896
demo_hd01_vd32,OTHER NARCOTIC VIOLATION,8,17,0.862957244532974
demo_hd01_vd36,OTHER OFFENSE,8,56,0.8628427547410008
demo_hd01_vd14,PUBLIC PEACE VIOLATION,8,28,-0.8628362020749006
demo_hd01_vd47,GAMBLING,8,5,0.862826249900146
demo_hd01_vd56,CRIMINAL DAMAGE,8,15,0.8627887700049817
demo_hd01_vd28,PUBLIC PEACE VIOLATION,8,70,-0.8627384561298637
demo_hd01_vd52,TOTAL,8,18,0.8626828046819507
demo_hd01_vd39,OTHER OFFENSE,8,56,0.8626567367375437
demo_hd01_vd38,OTHER OFFENSE,8,38,0.862638034005867
demo_hd01_vd28,BURGLARY,8,27,-0.8625445826170304
demo_hd01_vd49,CRIMINAL DAMAGE,8,56,0.8624546925697008
demo_hd01_vd28,BATTERY,8,60,-0.8624465758014818
demo_hd01_vd37,CRIMINAL DAMAGE,8,24,0.8624057942099007
demo_hd01_vd38,TOTAL,8,57,0.8623932957983013
demo_hd01_vd53,PROSTITUTION,8,3,0.8623171034141663
demo_hd01_vd31,PROSTITUTION,8,75,0.8622256262200361
demo_hd01_vd39,TOTAL,8,64,0.8621937256224956
demo_hd01_vd43,OFFENSE INVOLVING CHILDREN,8,6,0.8621879179396664
demo_hd01_vd50,PROSTITUTION,8,40,0.8621693367144979
demo_hd01_vd42,OTHER OFFENSE,8,31,0.8620721807280176
demo_hd01_vd21,ASSAULT,8,20,0.8620701259896033
demo_hd01_vd33,PROSTITUTION,8,75,0.8619843235103968
demo_hd01_vd14,TOTAL,8,61,-0.8619555712428475
demo_hd01_vd52,OTHER OFFENSE,8,2,0.8619477149293658
demo_hd01_vd52,BATTERY,8,53,0.8618171688455203
demo_hd01_vd28,NARCOTICS,8,66,-0.861804416493246
demo_hd01_vd37,BATTERY,8,56,0.8617475804946596
demo_hd01_vd56,TOTAL,8,59,0.861690781975324
demo_hd01_vd14,BURGLARY,8,25,-0.8616676221276331
demo_hd01_vd35,OTHER OFFENSE,8,31,0.8616585580094651
demo_hd01_vd51,TOTAL,8,59,0.8615658136415355
demo_hd01_vd28,BURGLARY,8,20,-0.8615207288331831
demo_hd01_vd55,PROSTITUTION,8,21,0.8614378775326892
demo_hd01_vd59,NARCOTICS,8,33,0.8613757623619769
demo_hd01_vd28,NARCOTICS,8,77,-0.8613680602727241
demo_hd01_vd36,TOTAL,8,56,0.8611553758019207
demo_hd01_vd53,CRIMINAL DAMAGE,8,49,0.861143144828756
demo_hd01_vd50,BURGLARY,8,42,0.8611211089234874
demo_hd01_vd46,PROSTITUTION,8,75,0.8610999931385563
demo_hd01_vd52,ASSAULT,8,40,0.8610347620326227
demo_hd01_vd35,CRIMINAL DAMAGE,8,56,0.8609809574576602
demo_hd01_vd22,KIDNAPPING,8,11,-0.8609735197807529
demo_hd01_vd56,BURGLARY,8,38,0.8609456485790504
demo_hd01_vd19,PUBLIC PEACE VIOLATION,8,67,0.8609169423016515
demo_hd01_vd08,NARCOTICS,8,69,0.8608866121099792
demo_hd01_vd47,PROSTITUTION,8,75,0.8608591765880119
demo_hd01_vd38,CRIMINAL DAMAGE,8,64,0.8608537477978511
demo_hd01_vd49,TOTAL,8,18,0.8608396969313366
demo_hd01_vd36,TOTAL,8,18,0.8608390486397229
demo_hd01_vd38,TOTAL,8,19,0.8607775331874421
demo_hd01_vd33,NARCOTICS,8,33,0.8607384884763315
demo_hd01_vd59,CRIMINAL TRESPASS,8,5,0.860578107359849
demo_hd01_vd39,BATTERY,8,53,0.8604979392890519
demo_hd01_vd37,TOTAL,8,56,0.8604939910911914
demo_hd01_vd38,CRIMINAL TRESPASS,8,40,0.8604367313562025
demo_hd01_vd50,CRIMINAL DAMAGE,8,15,0.8604232132710502
demo_hd01_vd29,TOTAL,8,18,0.8602514300780901
demo_hd01_vd14,PROSTITUTION,8,57,-0.8602380267735423
demo_hd01_vd37,CRIMINAL DAMAGE,8,64,0.8600914986380754
demo_hd01_vd28,MOTOR VEHICLE THEFT,8,19,-0.8600912222001323
demo_hd01_vd54,GAMBLING,8,5,0.8600712790057413
demo_hd01_vd38,CRIMINAL DAMAGE,8,63,0.8600395254090699
demo_hd01_vd28,TOTAL,8,66,-0.860019033646545
demo_hd01_vd38,OTHER OFFENSE,8,2,0.8600056377491844
demo_hd01_vd35,PROSTITUTION,8,75,0.8599941628931042
demo_hd01_vd37,CRIMINAL DAMAGE,8,18,0.8599173571756277
demo_hd01_vd53,OTHER OFFENSE,8,24,0.8598799286253761
demo_hd01_vd52,PROSTITUTION,8,20,0.8598305141628302
demo_hd01_vd14,BATTERY,8,38,-0.8598211055580258
demo_hd01_vd52,OTHER OFFENSE,8,38,0.8598068538639487
demo_hd01_vd39,CRIMINAL DAMAGE,8,61,0.8597816776353095
demo_hd01_vd37,TOTAL,8,17,0.8597205215025887
demo_hd01_vd14,NARCOTICS,8,32,-0.8597039994160085
demo_hd01_vd53,CRIMINAL DAMAGE,8,18,0.8596780765228385
demo_hd01_vd53,BURGLARY,8,42,0.8596631443821375
demo_hd01_vd39,CRIMINAL DAMAGE,8,74,0.8596616476718735
demo_hd01_vd17,TOTAL,8,47,0.8595651060256095
demo_hd01_vd52,BURGLARY,8,42,0.8595090765345841
demo_hd01_vd38,BATTERY,8,15,0.859466033056784
demo_hd01_vd52,TOTAL,8,15,0.8594655440029699
demo_hd01_vd53,TOTAL,8,5,0.8594413929230238
demo_hd01_vd51,NARCOTICS,8,12,0.8593964083184813
demo_hd01_vd37,CRIMINAL DAMAGE,8,52,0.8593960373996025
demo_hd01_vd28,DECEPTIVE PRACTICE,8,38,0.8593889930972973
demo_hd01_vd52,OTHER OFFENSE,8,24,0.8593601856157993
demo_hd01_vd36,OTHER OFFENSE,8,24,0.8593572463431393
demo_hd01_vd49,CRIMINAL TRESPASS,8,5,0.8593257418056401
demo_hd01_vd42,TOTAL,8,18,0.8593093079642483
demo_hd01_vd35,PROSTITUTION,8,21,0.8593035591638416
demo_hd01_vd36,CRIMINAL DAMAGE,8,62,0.8592792275343973
demo_hd01_vd50,CRIMINAL DAMAGE,8,64,0.8591363605376531
demo_hd01_vd38,OTHER OFFENSE,8,56,0.8591300658244032
demo_hd01_vd18,TOTAL,8,47,0.8591231091789043
demo_hd01_vd56,NARCOTICS,8,33,0.8591164429704091
demo_hd01_vd28,BURGLARY,8,67,-0.8591041635706446
demo_hd01_vd56,CRIMINAL DAMAGE,8,64,0.8590748054930618
demo_hd01_vd59,PROSTITUTION,8,21,0.8590128484052767
demo_hd01_vd53,OTHER OFFENSE,8,19,0.8590047662517664
demo_hd01_vd36,CRIMINAL DAMAGE,8,61,0.8589341877189687
demo_hd01_vd37,CRIMINAL DAMAGE,8,6,0.8589112663133344
demo_hd01_vd38,CRIMINAL DAMAGE,8,22,0.8588839478483961
demo_hd01_vd08,NARCOTICS,8,31,0.8588551507366756
demo_hd01_vd28,NARCOTICS,8,16,-0.858782559595799
demo_hd01_vd39,TOTAL,8,18,0.8586840586219036
demo_hd01_vd14,DECEPTIVE PRACTICE,8,29,0.8585862384673272
demo_hd01_vd26,MOTOR VEHICLE THEFT,8,48,-0.8585767727810213
demo_hd01_vd53,TOTAL,8,64,0.8585276617778574
demo_hd01_vd52,CRIMINAL DAMAGE,8,52,0.8585193002001995
demo_hd01_vd52,CRIMINAL DAMAGE,8,15,0.8584547770213028
demo_hd01_vd17,ASSAULT,608,0,0.8584423489248263
demo_hd01_vd32,PROSTITUTION,8,21,0.8584399580423129
demo_hd01_vd26,BURGLARY,8,67,-0.8584363631556599
demo_hd01_vd52,PROSTITUTION,8,40,0.8584313409750162
demo_hd01_vd36,CRIMINAL DAMAGE,8,52,0.8584267521003875
demo_hd01_vd26,BURGLARY,8,66,-0.8583949971592765
demo_hd01_vd51,NARCOTICS,8,35,0.8583867836717077
demo_hd01_vd59,TOTAL,8,18,0.8583268926857482
demo_hd01_vd51,BATTERY,8,53,0.8582963367179709
demo_hd01_vd52,OTHER OFFENSE,8,22,0.8580667734727153
demo_hd01_vd21,NARCOTICS,8,57,0.8579787456583022
demo_hd01_vd28,BURGLARY,8,2,-0.8579564875866846
demo_hd01_vd52,PROSTITUTION,8,38,0.8578857124515598
demo_hd01_vd36,NARCOTICS,8,12,0.857858469814744
demo_hd01_vd38,CRIMINAL DAMAGE,8,67,0.8578502307410238
demo_hd01_vd08,NARCOTICS,8,7,0.8577134490288151
demo_hd01_vd55,PROSTITUTION,8,73,0.8577025438479668
demo_hd01_vd36,TOTAL,8,57,0.857669320023974
demo_hd01_vd39,DECEPTIVE PRACTICE,8,55,-0.8576653724019305
demo_hd01_vd38,TOTAL,8,2,0.8576316681125011
demo_hd01_vd51,BURGLARY,8,38,0.857624177022501
demo_hd01_vd53,TOTAL,8,57,0.8575889906862456
demo_hd01_vd50,PROSTITUTION,8,20,0.8575679070691363
demo_hd01_vd37,ASSAULT,8,61,0.857563909397292
demo_hd01_vd14,BURGLARY,8,2,-0.8575577155315272
demo_hd01_vd31,PROSTITUTION,8,21,0.8575153892054299
demo_hd01_vd14,NARCOTICS,8,66,-0.8575060223444153
demo_hd01_vd26,MOTOR VEHICLE THEFT,8,43,-0.857498953158556
demo_hd01_vd38,NARCOTICS,8,12,0.8574062394257104
demo_hd01_vd08,DECEPTIVE PRACTICE,8,28,-0.8573666222334233
demo_hd01_vd51,ASSAULT,8,20,0.8573237920659775
demo_hd01_vd52,CRIMINAL DAMAGE,8,18,0.8573230924380656
demo_hd01_vd38,CRIMINAL DAMAGE,8,74,0.8572874185100833
demo_hd01_vd38,OTHER OFFENSE,8,58,0.8572866719159344
demo_hd01_vd50,OTHER OFFENSE,8,56,0.8572528736807511
demo_hd01_vd56,PROSTITUTION,8,22,0.857251164478903
demo_hd01_vd35,PROSTITUTION,8,40,0.8571870223387776
demo_hd01_vd53,CRIMINAL DAMAGE,8,62,0.8571331484477213
demo_hd01_vd56,OTHER OFFENSE,8,56,0.8570740716016051
demo_hd01_vd50,CRIMINAL DAMAGE,8,56,0.8570155799817408
demo_hd01_vd37,CRIMINAL DAMAGE,8,23,0.8569138453801812
demo_hd01_vd38,TOTAL,8,38,0.8569081675089448
demo_hd01_vd28,PUBLIC PEACE VIOLATION,8,60,-0.8569033502779889
demo_hd01_vd37,OTHER OFFENSE,8,56,0.8569006540700922
demo_hd01_vd28,OTHER OFFENSE,8,60,-0.8568987070549313
demo_hd01_vd28,PUBLIC PEACE VIOLATION,8,28,-0.8568856977679137
demo_hd01_vd56,CRIMINAL DAMAGE,8,62,0.8568689906962468
demo_hd01_vd39,CRIMINAL DAMAGE,8,64,0.8568463587556012
demo_hd01_vd51,CRIMINAL DAMAGE,8,74,0.8566774160916318
demo_hd01_vd52,NARCOTICS,8,12,0.8566617515911374
demo_hd01_vd39,TOTAL,8,15,0.8566553814759817
demo_hd01_vd52,CRIMINAL DAMAGE,8,14,0.8566452848448824
demo_hd01_vd28,TOTAL,8,63,-0.8566387424173055
demo_hd01_vd37,CRIMINAL DAMAGE,8,22,0.8566099991487702
demo_hd01_vd14,BATTERY,8,66,-0.8566041416429301
demo_hd01_vd47,KIDNAPPING,8,9,0.8565314836154944
demo_hd01_vd52,CRIMINAL DAMAGE,8,22,0.8564591596148986
demo_hd01_vd46,PROSTITUTION,8,21,0.8564287659449884
demo_hd01_vd24,TOTAL,8,12,0.8563551693392608
demo_hd01_vd53,THEFT,8,17,0.8563016235954829
demo_hd01_vd37,TOTAL,8,13,0.8562886016299415
demo_hd01_vd49,NARCOTICS,8,33,0.8562649204107846
demo_hd01_vd53,CRIMINAL DAMAGE,8,52,0.8562370753625195
demo_hd01_vd47,PROSTITUTION,8,21,0.8561910842634886
demo_hd01_vd41,PROSTITUTION,8,75,0.8561640186460049
demo_hd01_vd59,PROSTITUTION,8,75,0.8560134445551988
demo_hd01_vd52,TOTAL,8,17,0.8559073660160391
traffic_bus,BATTERY,7,46,0.8558527836271677
demo_hd01_vd28,NARCOTICS,8,42,-0.8558520225704777
demo_hd01_vd25,TOTAL,8,47,0.8558461594943101
demo_hd01_vd38,TOTAL,8,25,0.8558158562566821
demo_hd01_vd40,GAMBLING,8,59,0.8557862285444241
demo_hd01_vd02,TOTAL,8,47,0.8557851748719473
demo_hd01_vd21,NARCOTICS,8,12,0.8557609149069687
demo_hd01_vd36,CRIMINAL DAMAGE,8,74,0.8557575812711343
demo_hd01_vd28,OTHER OFFENSE,8,77,-0.8556858205053393
demo_hd01_vd50,CRIMINAL DAMAGE,8,18,0.8556352984301433
demo_hd01_vd50,THEFT,8,17,0.85562963805383
demo_hd01_vd33,OTHER NARCOTIC VIOLATION,8,24,0.8555237166228845
demo_hd01_vd38,TOTAL,8,18,0.8554593555853881
demo_hd01_vd36,CRIMINAL DAMAGE,8,6,0.855390598404334
demo_hd01_vd56,PROSTITUTION,8,69,0.8553794517885148
demo_hd01_vd38,TOTAL,8,49,0.8553544118427325
traffic_bus,BATTERY,7,43,0.8553079749830645
demo_hd01_vd52,TOTAL,8,65,0.8552954446701252
demo_hd01_vd39,CRIMINAL DAMAGE,8,63,0.8552538931928765
demo_hd01_vd39,OTHER OFFENSE,8,24,0.8552200648542688
demo_hd01_vd47,PROSTITUTION,8,73,0.8551421436023819
demo_hd01_vd38,TOTAL,8,17,0.8551262586510636
traffic_bus,OTHER OFFENSE,7,69,0.8551054114897518
traffic_bus,TOTAL,7,72,0.8551046831123301
demo_hd01_vd38,BATTERY,8,2,0.8550524937252841
demo_hd01_vd52,CRIMINAL DAMAGE,8,30,0.8550259789705026
demo_hd01_vd37,OTHER OFFENSE,8,6,0.8550006806437106
demo_hd01_vd14,NARCOTICS,8,42,-0.8549989489483998
demo_hd01_vd32,PROSTITUTION,8,73,0.854989435692107
demo_hd01_vd28,ROBBERY,8,53,-0.8548921976732748
demo_hd01_vd14,NARCOTICS,8,63,-0.8548377019248403
demo_hd01_vd26,MOTOR VEHICLE THEFT,8,53,-0.854832281399608
demo_hd01_vd36,TOTAL,8,15,0.8547826461143185
demo_hd01_vd51,CRIMINAL DAMAGE,8,21,0.8547574708783592
demo_hd01_vd14,NARCOTICS,8,61,-0.8547399863248393
demo_hd01_vd56,CRIMINAL DAMAGE,8,49,0.8547141554791613
demo_hd01_vd51,CRIMINAL DAMAGE,8,19,0.8547105493917811
demo_hd01_vd56,NARCOTICS,8,12,0.8546677473911695
demo_hd01_vd56,CRIMINAL DAMAGE,8,18,0.8546300011848611
demo_hd01_vd35,PROSTITUTION,8,20,0.8545453762720536
demo_hd01_vd31,PROSTITUTION,8,73,0.8544715628279386
demo_hd01_vd14,NARCOTICS,8,71,-0.854455213340647
demo_hd01_vd38,PROSTITUTION,8,38,0.8544062298985651
demo_hd01_vd38,CRIMINAL DAMAGE,8,18,0.854368792840562
demo_hd01_vd39,TOTAL,8,65,0.8543655465288911
demo_hd01_vd46,TOTAL,8,18,0.8541364465994777
demo_hd01_vd37,TOTAL,8,12,0.8541358381008737
demo_hd01_vd33,OTHER NARCOTIC VIOLATION,8,2,0.8541153891821512
demo_hd01_vd52,PROSTITUTION,8,3,0.8541065658219875
demo_hd01_vd50,CRIMINAL DAMAGE,8,49,0.854091480815883
demo_hd01_vd07,CRIMINAL DAMAGE,8,12,0.8539919541570953
demo_hd01_vd51,CRIMINAL DAMAGE,8,64,0.8539889599457662
demo_hd01_vd59,OTHER OFFENSE,8,31,0.8539617870274461
demo_hd01_vd08,NARCOTICS,8,71,0.8538962641605998
demo_hd01_vd36,BATTERY,8,53,0.8538805399007365
demo_hd01_vd52,CRIMINAL DAMAGE,8,66,0.8538564841393901
demo_hd01_vd27,TOTAL,8,47,0.8538480013953651
demo_hd01_vd50,TOTAL,8,56,0.8538370511173989
demo_hd01_vd46,PROSTITUTION,8,73,0.8537963920502956
demo_hd01_vd26,MOTOR VEHICLE THEFT,8,2,-0.8537880127331787
demo_hd01_vd35,CRIMINAL TRESPASS,8,5,0.8537681681991427
demo_hd01_vd38,CRIMINAL DAMAGE,8,52,0.8537530956779057
demo_hd01_vd55,PROSTITUTION,8,22,0.8536501519429333
demo_hd01_vd36,TOTAL,8,65,0.8535936566412555
demo_hd01_vd38,OTHER OFFENSE,8,22,0.8535058274295236
demo_hd01_vd35,TOTAL,8,18,0.8535046731907603
demo_hd01_vd37,CRIMINAL DAMAGE,8,19,0.8534639682494823
demo_hd01_vd01,TOTAL,8,18,0.8534431939441849
demo_hd01_vd39,CRIMINAL DAMAGE,8,16,0.8534140075529422
demo_hd01_vd52,OTHER OFFENSE,8,19,0.8533973198072172
demo_hd01_vd41,CRIMINAL TRESPASS,8,5,0.8533959464059437
demo_hd01_vd33,CRIMINAL TRESPASS,8,5,0.853384426487471
demo_hd01_vd31,TOTAL,8,18,0.8533219130716898
demo_hd01_vd38,TOTAL,8,52,0.8532957677625078
traffic_bus,CRIMINAL TRESPASS,7,25,0.8532780257745582
demo_hd01_vd53,OTHER OFFENSE,8,38,0.8532768509407256
demo_hd01_vd52,OTHER OFFENSE,8,58,0.8532314174085175
demo_hd01_vd37,BURGLARY,8,42,0.8532060810355394
demo_hd01_vd50,CRIMINAL DAMAGE,8,75,0.8531437569867737
demo_hd01_vd14,BATTERY,8,60,-0.8531404706171152
demo_hd01_vd38,NARCOTICS,8,2,0.8531211964071032
demo_hd01_vd42,CRIMINAL TRESPASS,8,5,0.8530529942447937
demo_hd01_vd51,OTHER OFFENSE,8,22,0.8530201074121717
demo_hd01_vd28,BATTERY,8,40,-0.8529187867823869
demo_hd01_vd50,CRIMINAL DAMAGE,8,62,0.8529092663607883
demo_hd01_vd39,TOTAL,8,71,0.8528580059709578
demo_hd01_vd38,CRIMINAL DAMAGE,8,66,0.8528243797644677
demo_hd01_vd38,BURGLARY,8,42,0.8527779919834281
traffic_bus,TOTAL,7,26,0.8527631986210308
demo_hd01_vd21,CRIMINAL TRESPASS,8,28,0.8527552623707079
demo_hd01_vd38,TOTAL,8,75,0.8527068996482722
demo_hd01_vd28,NARCOTICS,8,32,-0.8526643450974009
demo_hd01_vd14,TOTAL,8,75,-0.8525123530230231
demo_hd01_vd42,CRIMINAL DAMAGE,8,56,0.8524964199430831
traffic_bus,BATTERY,7,16,0.8524921947182373
demo_hd01_vd14,NARCOTICS,8,24,-0.8524490410622987
demo_hd01_vd32,TOTAL,8,18,0.8524374287637829
demo_hd01_vd14,BATTERY,8,22,-0.8524189051599576
demo_hd01_vd39,NARCOTICS,8,12,0.8523980419934667
demo_hd01_vd40,OTHER NARCOTIC VIOLATION,8,17,0.8523951707722485
demo_hd01_vd34,KIDNAPPING,8,9,0.8523715909289121
demo_hd01_vd38,ASSAULT,8,40,0.852212164309845
demo_hd01_vd35,PROSTITUTION,8,3,0.8521716646176539
demo_hd01_vd53,CRIMINAL DAMAGE,8,14,0.852145130952833
demo_hd01_vd38,BATTERY,8,23,0.8521202339929421
demo_hd01_vd41,PROSTITUTION,8,21,0.8521114448708956
demo_hd01_vd16,TOTAL,8,18,0.8520709127462414
demo_hd01_vd53,CRIMINAL DAMAGE,8,19,0.8520478156288874
demo_hd01_vd53,TOTAL,8,56,0.8520409326115027
demo_hd01_vd42,OTHER NARCOTIC VIOLATION,8,24,0.8520187569898466
demo_hd01_vd21,THEFT,8,59,0.8520076630443059
demo_hd01_vd01,PROSTITUTION,8,75,0.8520007726961228
demo_hd01_vd59,CRIMINAL DAMAGE,8,56,0.8519956796709804
demo_hd01_vd51,BATTERY,8,25,0.8519738370923333
demo_hd01_vd38,OTHER OFFENSE,8,6,0.8519634324015614
demo_hd01_vd04,KIDNAPPING,8,9,0.8519603245023927
demo_hd01_vd32,OTHER OFFENSE,8,31,0.8519094024111543
demo_hd01_vd51,TOTAL,8,64,0.851902297684728
demo_hd01_vd56,PROSTITUTION,8,56,0.8518882669221373
demo_hd01_vd05,TOTAL,8,12,0.8518661310606781
demo_hd01_vd14,BATTERY,8,43,-0.8518621235749537
traffic_bus,OTHER OFFENSE,7,25,0.8518559002015347
demo_hd01_vd37,CRIMINAL DAMAGE,8,49,0.8518401149472611
